"pressure","AAL",747.47,"2021-05-22 21:20:54"
"temp","AAL",19.43,"2021-05-22 21:20:54"
"hum","AAL",59.53,"2021-05-22 21:20:55"
"lux","AAL",5,"2021-05-22 21:20:55"
"awita","AAL",310,"2021-05-22 21:20:55"
"pressure","AAL",747.45,"2021-05-22 21:21:00"
"temp","AAL",19.42,"2021-05-22 21:21:00"
"hum","AAL",59.62,"2021-05-22 21:21:01"
"lux","AAL",4.17,"2021-05-22 21:21:01"
"awita","AAL",314,"2021-05-22 21:21:01"
"lux","AAL",5,"2021-05-22 21:21:14"
"awita","AAL",308,"2021-05-22 21:21:14"
"pressure","AAL",747.47,"2021-05-22 21:21:19"
"temp","AAL",19.44,"2021-05-22 21:21:19"
"hum","AAL",60.28,"2021-05-22 21:21:20"
"lux","AAL",5,"2021-05-22 21:21:20"
"awita","AAL",310,"2021-05-22 21:21:20"
"pressure","AAL",747.47,"2021-05-22 21:21:25"
"temp","AAL",19.44,"2021-05-22 21:21:25"
"hum","AAL",59.68,"2021-05-22 21:21:25"
"lux","AAL",5,"2021-05-22 21:21:26"
"awita","AAL",302,"2021-05-22 21:21:26"
"pressure","AAL",747.48,"2021-05-22 21:21:32"
"temp","AAL",19.42,"2021-05-22 21:21:32"
"hum","AAL",59.84,"2021-05-22 21:21:33"
"lux","AAL",5,"2021-05-22 21:21:33"
"awita","AAL",317,"2021-05-22 21:21:33"
"pressure","AAL",747.5,"2021-05-22 21:21:38"
"temp","AAL",19.37,"2021-05-22 21:21:39"
"hum","AAL",58.9,"2021-05-22 21:21:40"
"lux","AAL",5,"2021-05-22 21:21:40"
"awita","AAL",309,"2021-05-22 21:21:40"
"pressure","AAL",747.47,"2021-05-22 21:21:46"
"temp","AAL",19.29,"2021-05-22 21:21:46"
"hum","AAL",58.91,"2021-05-22 21:21:46"
"lux","AAL",5,"2021-05-22 21:21:46"
"awita","AAL",317,"2021-05-22 21:21:46"
"pressure","AAL",747.44,"2021-05-22 21:21:52"
"temp","AAL",19.22,"2021-05-22 21:21:52"
"hum","AAL",59.01,"2021-05-22 21:21:53"
"lux","AAL",5,"2021-05-22 21:21:53"
"awita","AAL",317,"2021-05-22 21:21:53"
"pressure","AAL",747.48,"2021-05-22 21:21:58"
"temp","AAL",19.16,"2021-05-22 21:21:58"
"hum","AAL",59.71,"2021-05-22 21:21:59"
"lux","AAL",5,"2021-05-22 21:21:59"
"awita","AAL",307,"2021-05-22 21:21:59"
"pressure","AAL",747.49,"2021-05-22 21:22:05"
"temp","AAL",19.13,"2021-05-22 21:22:05"
"hum","AAL",59.85,"2021-05-22 21:22:05"
"lux","AAL",5,"2021-05-22 21:22:06"
"awita","AAL",317,"2021-05-22 21:22:06"
"pressure","AAL",747.49,"2021-05-22 21:22:11"
"temp","AAL",19.11,"2021-05-22 21:22:11"
"hum","AAL",60.2,"2021-05-22 21:22:11"
"lux","AAL",65.83,"2021-05-22 21:22:11"
"awita","AAL",325,"2021-05-22 21:22:11"
"pressure","AAL",747.52,"2021-05-22 21:22:17"
"temp","AAL",19.11,"2021-05-22 21:22:17"
"hum","AAL",60.48,"2021-05-22 21:22:17"
"lux","AAL",53.33,"2021-05-22 21:22:18"
"awita","AAL",327,"2021-05-22 21:22:18"
"pressure","AAL",747.53,"2021-05-22 21:22:23"
"temp","AAL",19.1,"2021-05-22 21:22:23"
"hum","AAL",60.32,"2021-05-22 21:22:23"
"lux","AAL",75.83,"2021-05-22 21:22:23"
"awita","AAL",321,"2021-05-22 21:22:23"
"pressure","AAL",747.52,"2021-05-22 21:22:29"
"temp","AAL",19.08,"2021-05-22 21:22:29"
"hum","AAL",60,"2021-05-22 21:22:29"
"lux","AAL",67.5,"2021-05-22 21:22:29"
"awita","AAL",298,"2021-05-22 21:22:29"
"pressure","AAL",747.53,"2021-05-22 21:22:35"
"temp","AAL",19.06,"2021-05-22 21:22:35"
"hum","AAL",60.03,"2021-05-22 21:22:35"
"lux","AAL",108.33,"2021-05-22 21:22:35"
"awita","AAL",346,"2021-05-22 21:22:35"
"pressure","AAL",747.54,"2021-05-22 21:22:40"
"temp","AAL",19.07,"2021-05-22 21:22:41"
"hum","AAL",59.82,"2021-05-22 21:22:41"
"lux","AAL",97.5,"2021-05-22 21:22:41"
"awita","AAL",344,"2021-05-22 21:22:41"
"pressure","AAL",747.53,"2021-05-22 21:22:46"
"temp","AAL",19.07,"2021-05-22 21:22:47"
"hum","AAL",59.88,"2021-05-22 21:22:48"
"lux","AAL",100,"2021-05-22 21:22:48"
"awita","AAL",344,"2021-05-22 21:22:48"
"pressure","AAL",747.51,"2021-05-22 21:22:54"
"temp","AAL",19.05,"2021-05-22 21:22:54"
"hum","AAL",59.78,"2021-05-22 21:22:54"
"lux","AAL",165,"2021-05-22 21:22:54"
"awita","AAL",356,"2021-05-22 21:22:54"
"pressure","AAL",747.53,"2021-05-22 21:23:00"
"temp","AAL",19.13,"2021-05-22 21:23:01"
